2018rank,City,State[c],2018estimate,2010Census,Change,2016 land area(sqmi),2016 land area (km2),2016 population density(/sqmi),2016 population density(/km2),Location
172,Pomona,California,"152,361","149,058",+2.22%,23.0,59.6,"6,630","2,560", 34.0585°N 117.7611°W 
173,Escondido,California,"152,213","143,911",+5.77%,37.1,96.1,"4,087","1,578", 33.1331°N 117.0740°W 
174,Killeen,Texas,"149,103","127,921",+16.56%,53.5,138.6,"2,680","1,030", 31.0777°N 97.7320°W 
175,Naperville,Illinois,"148,304","141,853",+4.55%,38.7,100.2,"3,802","1,468", 41.7492°N 88.1620°W 
176,Joliet,Illinois,"148,099","147,433",+0.45%,64.4,166.8,"2,302",889, 41.5177°N 88.1488°W 
177,Bellevue,Washington,"147,599","122,363",+20.62%,33.5,86.8,"4,221","1,630", 47.5979°N 122.1565°W 
178,Rockford,Illinois,"146,526","152,871",−4.15%,63.5,164.5,"2,325",898, 42.2588°N 89.0646°W 
179,Savannah,Georgia,"145,862","136,286",+7.03%,103.6,268.3,"1,417",547, 32.0025°N 81.1536°W 
180,Paterson,New Jersey,"145,627","146,199",−0.39%,8.4,21.8,"17,500","6,800", 40.9148°N 74.1628°W 
181,Torrance,California,"145,182","145,438",−0.18%,20.5,53.1,"7,180","2,770", 33.8350°N 118.3414°W 
182,Bridgeport,Connecticut,"144,900","144,229",+0.47%,16.1,41.7,"9,064","3,500", 41.1874°N 73.1958°W 
183,McAllen,Texas,"143,433","129,877",+10.44%,58.4,151.3,"2,435",940, 26.2322°N 98.2464°W 
184,Mesquite,Texas,"142,816","139,824",+2.14%,47.2,122.2,"3,045","1,176", 32.7629°N 96.5888°W 
185,Syracuse,New York,"142,749","145,170",−1.67%,25.0,64.7,"5,735","2,214", 43.0410°N 76.1436°W 
186,Midland,Texas,"142,344","111,147",+28.07%,74.4,192.7,"1,809",698, 32.0246°N 102.1135°W 
187,Pasadena,California,"141,371","137,122",+3.10%,23.0,59.6,"6,176","2,385", 34.1606°N 118.1396°W 
188,Murfreesboro,Tennessee,"141,344","108,755",+29.97%,55.9,144.8,"2,360",910, 35.8522°N 86.4160°W 
189,Miramar,Florida,"140,823","122,041",+15.39%,29.4,76.1,"4,709","1,818", 25.9770°N 80.3358°W 
190,Dayton,Ohio,"140,640","141,527",−0.63%,55.7,144.3,"2,522",974, 39.7774°N 84.1996°W 
191,Fullerton,California,"139,640","135,161",+3.31%,22.4,58.0,"6,282","2,425", 33.8857°N 117.9280°W 
192,Olathe,Kansas,"139,605","125,872",+10.91%,60.9,157.7,"2,225",859, 38.8843°N 94.8195°W 
193,Orange,California,"139,484","136,416",+2.25%,25.4,65.8,"5,532","2,136", 33.7870°N 117.8613°W 
194,Thornton,Colorado,"139,436","118,772",+17.40%,35.7,92.5,"3,829","1,478", 39.9194°N 104.9428°W 
195,Roseville,California,"139,117","118,788",+17.11%,43.0,111.4,"3,085","1,191", 38.7690°N 121.3189°W 
196,Denton,Texas,"138,541","113,383",+22.19%,93.4,241.9,"1,433",553, 33.2166°N 97.1414°W 
197,Waco,Texas,"138,183","124,805",+10.72%,89.0,230.5,"1,510",580, 31.5601°N 97.1860°W 
198,Surprise,Arizona,"138,161","117,517",+17.57%,107.9,279.5,"1,230",470, 33.6706°N 112.4527°W 
199,Carrollton,Texas,"136,879","119,097",+14.93%,36.3,94.0,"3,674","1,419", 32.9884°N 96.8998°W 
200,West Valley City,Utah,"136,401","129,480",+5.35%,35.5,91.9,"3,847","1,485", 40.6885°N 112.0118°W 
201,Charleston,South Carolina,"136,208","120,083",+13.43%,109.0,282.3,"1,233",476, 32.8179°N 79.9590°W 
202,Warren,Michigan,"134,587","134,056",+0.40%,34.4,89.1,"3,928","1,517", 42.4929°N 83.0250°W 
203,Hampton[m],Virginia,"134,313","137,436",−2.27%,51.5,133.4,"2,629","1,015", 37.0480°N 76.2971°W 
204,Gainesville,Florida,"133,857","124,354",+7.64%,62.3,161.4,"2,112",815, 29.6788°N 82.3461°W 
205,Visalia,California,"133,800","124,442",+7.52%,37.5,97.1,"3,495","1,349", 36.3273°N 119.3289°W 
206,Coral Springs,Florida,"133,507","121,096",+10.25%,23.8,61.6,"5,465","2,110", 26.2707°N 80.2593°W 
207,Columbia,South Carolina,"133,451","129,272",+3.23%,133.5,345.8,"1,006",388, 34.0291°N 80.8980°W 
208,Cedar Rapids,Iowa,"133,174","126,326",+5.42%,70.8,183.4,"1,852",715, 41.9670°N 91.6778°W 
209,Sterling Heights,Michigan,"132,964","129,699",+2.52%,36.5,94.5,"3,628","1,401", 42.5812°N 83.0303°W 
210,New Haven,Connecticut,"130,418","129,779",+0.49%,18.7,48.4,"6,948","2,683", 41.3108°N 72.9250°W 
211,Stamford,Connecticut,"129,775","122,643",+5.82%,37.6,97.4,"3,434","1,326", 41.0799°N 73.5460°W 
212,Concord,California,"129,688","122,067",+6.24%,30.5,79.0,"4,221","1,630", 37.9722°N 122.0016°W 
213,Kent,Washington,"129,618","92,411",+40.26%,33.7,87.3,"3,784","1,461", 47.3880°N 122.2127°W 
214,Santa Clara,California,"129,488","116,468",+11.18%,18.4,47.7,"6,845","2,643", 37.3646°N 121.9679°W 
215,Elizabeth,New Jersey,"128,885","124,969",+3.13%,12.3,31.9,"10,459","4,038", 40.6664°N 74.1935°W 
216,Round Rock,Texas,"128,739","99,887",+28.88%,35.6,92.2,"3,396","1,311", 30.5252°N 97.6660°W 
217,Thousand Oaks,California,"127,690","126,683",+0.79%,55.2,143.0,"2,335",902, 34.1933°N 118.8742°W 
218,Lafayette[y],Louisiana,"126,143","120,623",+4.58%,53.8,139.3,"2,372",916, 30.2074°N 92.0285°W 
219,Athens[z],Georgia,"125,964","115,452",+9.11%,116.4,301.5,"1,060",410, 33.9496°N 83.3701°W 
220,Topeka,Kansas,"125,904","127,473",−1.23%,61.5,159.3,"2,062",796, 39.0347°N 95.6962°W 
221,Simi Valley,California,"125,851","124,237",+1.30%,41.5,107.5,"3,044","1,175", 34.2669°N 118.7485°W 
222,Fargo,North Dakota,"124,844","105,549",+18.28%,49.3,127.7,"2,450",950, 46.8652°N 96.8290°W 
223,Norman,Oklahoma,"123,471","110,925",+11.31%,178.8,463.1,683,264, 35.2406°N 97.3453°W 
224,Columbia,Missouri,"123,180","108,500",+13.53%,65.0,168.3,"1,856",717, 38.951561°N 92.328638°W 
225,Abilene,Texas,"122,999","117,063",+5.07%,106.7,276.4,"1,146",442, 32.4545°N 99.7381°W 
226,Wilmington,North Carolina,"122,607","106,476",+15.15%,51.6,133.6,"2,278",880, 34.2092°N 77.8858°W 
227,Hartford,Connecticut,"122,587","124,775",−1.75%,17.4,45.1,"7,083","2,735", 41.7659°N 72.6816°W 
228,Victorville,California,"122,312","115,903",+5.53%,73.3,189.8,"1,668",644, 34.5277°N 117.3536°W 
229,Pearland,Texas,"122,149","91,252",+33.86%,46.3,119.9,"2,453",947, 29.5558°N 95.3231°W 
230,Vallejo,California,"121,913","115,942",+5.15%,30.7,79.5,"3,951","1,525", 38.1079°N 122.2640°W 
231,Ann Arbor,Michigan,"121,890","113,934",+6.98%,28.1,72.8,"4,298","1,659", 42.2761°N 83.7309°W 
232,Berkeley,California,"121,643","112,580",+8.05%,10.5,27.2,"11,547","4,458", 37.8670°N 122.2991°W 
233,Allentown,Pennsylvania,"121,433","118,032",+2.88%,17.5,45.3,"6,882","2,657", 40.5936°N 75.4784°W 
234,Richardson,Texas,"120,981","99,223",+21.93%,28.6,74.1,"3,963","1,530", 32.9723°N 96.7081°W 
235,Odessa,Texas,"120,568","99,940",+20.64%,45.2,117.1,"2,608","1,007", 31.8838°N 102.3411°W 
236,Arvada,Colorado,"120,492","106,433",+13.21%,38.6,100.0,"3,043","1,175", 39.8337°N 105.1503°W 
237,Cambridge,Massachusetts,"118,977","105,162",+13.14%,6.4,16.6,"17,289","6,675", 42.3760°N 71.1187°W 
238,Sugar Land,Texas,"118,600","91,252",+29.97%,34.0,88.1,"3,488","1,347", 29.5994°N 95.6142°W 
239,Beaumont,Texas,"118,428","118,296",+0.11%,82.1,212.6,"1,441",556, 30.0849°N 94.1453°W 
240,Lansing,Michigan,"118,427","114,297",+3.61%,39.1,101.3,"2,967","1,146", 42.7143°N 84.5593°W 
241,Evansville,Indiana,"117,963","117,429",+0.45%,47.3,122.5,"2,526",975, 37.9877°N 87.5347°W 
242,Rochester,Minnesota,"116,961","106,769",+9.55%,54.6,141.4,"2,088",806, 44.0154°N 92.4772°W 
243,Independence,Missouri,"116,925","116,830",+0.08%,77.8,201.5,"1,504",581, 39.0855°N 94.3521°W 
244,Fairfield,California,"116,884","105,321",+10.98%,40.9,105.9,"2,806","1,083", 38.2593°N 122.0321°W 
245,Provo,Utah,"116,702","112,488",+3.75%,41.7,108.0,"2,803","1,082", 40.2453°N 111.6448°W 
246,Clearwater,Florida,"116,478","107,685",+8.17%,25.9,67.1,"4,415","1,705", 27.9789°N 82.7666°W 
247,College Station,Texas,"116,218","93,857",+23.82%,51.0,132.1,"2,199",849, 30.5852°N 96.2964°W 
248,West Jordan,Utah,"116,046","103,712",+11.89%,32.3,83.7,"3,520","1,360", 40.6024°N 112.0008°W 
249,Carlsbad,California,"115,877","105,328",+10.02%,37.7,97.6,"3,023","1,167", 33.1239°N 117.2828°W 
250,El Monte,California,"115,586","113,475",+1.86%,9.6,24.9,"12,063","4,658", 34.0746°N 118.0291°W 
251,Murrieta,California,"114,985","103,466",+11.13%,33.6,87.0,"3,324","1,283", 33.5721°N 117.1904°W 
252,Temecula,California,"114,742","100,097",+14.63%,37.3,96.6,"3,031","1,170", 33.4931°N 117.1317°W 
253,Springfield,Illinois,"114,694","116,250",−1.34%,60.1,155.7,"1,925",743, 39.7911°N 89.6446°W 
254,Palm Bay,Florida,"114,194","103,190",+10.66%,65.7,170.2,"1,676",647, 27.9856°N 80.6626°W 
255,Costa Mesa,California,"113,615","109,960",+3.32%,15.7,40.7,"7,186","2,775", 33.6659°N 117.9123°W 
256,Westminster,Colorado,"113,479","106,114",+6.94%,31.7,82.1,"3,592","1,387", 39.8822°N 105.0644°W 
257,North Charleston,South Carolina,"113,237","97,471",+16.18%,73.7,190.9,"1,483",573, 32.9178°N 80.0650°W 
258,Miami Gardens,Florida,"113,069","107,167",+5.51%,18.2,47.1,"6,212","2,398", 25.9489°N 80.2436°W 
259,Manchester,New Hampshire,"112,525","109,565",+2.70%,33.1,85.7,"3,339","1,289", 42.9849°N 71.4441°W 
260,High Point,North Carolina,"112,316","104,371",+7.61%,55.2,143.0,"2,015",778, 35.9900°N 79.9905°W 
261,Downey,California,"112,269","111,772",+0.44%,12.4,32.1,"9,134","3,527", 33.9382°N 118.1309°W 
262,Clovis,California,"112,022","95,631",+17.14%,24.2,62.7,"4,404","1,700", 36.8282°N 119.6849°W 
